year,individualCount,gemeente,provincie,gewest,gbifID,decimalLatitude,decimalLongitude,geometry
2001,1,Zandhoven,Antwerpen,flanders,2610185656,51.219551,4.690996,"c(4.690996, 51.219551)"
2002,1,Bocholt,Limburg,flanders,2610185810,51.198979,5.544548,"c(5.544548, 51.198979)"
2013,1,Spiere-Helkijn,West-Vlaanderen,flanders,2610185980,50.726379,3.347563,"c(3.347563, 50.726379)"
2011,1,Spiere-Helkijn,West-Vlaanderen,flanders,2610185996,50.726379,3.347563,"c(3.347563, 50.726379)"
2014,2,Poperinge,West-Vlaanderen,flanders,2610186082,50.856787,2.637719,"c(2.637719, 50.856787)"
2015,1,Spiere-Helkijn,West-Vlaanderen,flanders,2610186104,50.726379,3.347563,"c(3.347563, 50.726379)"
2018,1,Celles,Henegouwen,wallonia,2610186275,50.728082,3.383414,"c(3.383414, 50.728082)"
2018,1,Wervik,West-Vlaanderen,flanders,2610186294,50.770228,3.03068,"c(3.03068, 50.770228)"
2003,2,Arendonk,Antwerpen,flanders,2610186545,51.334981,5.084135,"c(5.084135, 51.334981)"
2004,1,Malle,Antwerpen,flanders,2610186699,51.292471,4.736351,"c(4.736351, 51.292471)"
2001,1,Grobbendonk,Antwerpen,flanders,2610186724,51.190239,4.717873,"c(4.717873, 51.190239)"
2007,1,Nijlen,Antwerpen,flanders,2610186756,51.161209,4.65827,"c(4.65827, 51.161209)"
2012,1,Geraardsbergen,Oost-Vlaanderen,flanders,2610187064,50.75701,3.927373,"c(3.927373, 50.75701)"
2011,1,Hamont-Achel,Limburg,flanders,2610187091,51.269219,5.489486,"c(5.489486, 51.269219)"
2014,3,Pepingen,Vlaams-Brabant,flanders,2610187162,50.726603,4.152394,"c(4.152394, 50.726603)"
2014,1,Spiere-Helkijn,West-Vlaanderen,flanders,2610187163,50.726379,3.347563,"c(3.347563, 50.726379)"
2008,2,Herselt,Antwerpen,flanders,2610187399,51.072495,4.923133,"c(4.923133, 51.072495)"
2001,2,Westerlo,Antwerpen,flanders,2610187513,51.117122,4.888793,"c(4.888793, 51.117122)"
2003,1,Berlaar,Antwerpen,flanders,2610187539,51.109682,4.65571,"c(4.65571, 51.109682)"
2001,4,Retie,Antwerpen,flanders,2610187601,51.268166,5.082186,"c(5.082186, 51.268166)"
2008,1,Grobbendonk,Antwerpen,flanders,2610187668,51.193941,4.757481,"c(4.757481, 51.193941)"
2008,1,Kasterlee,Antwerpen,flanders,2610187714,51.247098,4.919201,"c(4.919201, 51.247098)"
2002,2,Lommel,Limburg,flanders,2610187919,51.240976,5.278595,"c(5.278595, 51.240976)"
2001,3,Maaseik,Limburg,flanders,2610187953,51.085053,5.749664,"c(5.749664, 51.085053)"
2002,1,Merksplas,Antwerpen,flanders,2610188060,51.365772,4.866367,"c(4.866367, 51.365772)"
2001,2,Nijlen,Antwerpen,flanders,2610188438,51.139677,4.667035,"c(4.667035, 51.139677)"
2004,1,Zandhoven,Antwerpen,flanders,2610188693,51.218515,4.650082,"c(4.650082, 51.218515)"
2004,2,Ranst,Antwerpen,flanders,2610188711,51.169193,4.590426,"c(4.590426, 51.169193)"
2001,4,Grobbendonk,Antwerpen,flanders,2610188745,51.172236,4.744292,"c(4.744292, 51.172236)"
2009,2,Hechtel-Eksel,Limburg,flanders,2610188920,51.151352,5.391816,"c(5.391816, 51.151352)"
